id,name,artists,duration_ms,release_date,year,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,mode,key,popularity,explicit
25Sd73fleKUVPNqITPZkn1,"""45""",['The Gaslight Anthem'],202493,1/1/12,2012,0.000696,0.315,0.97,0.0,0.277,-4.709,0.102,178.068,0.423,1,8,48,0
617KSbx52ACbnQBxSsG26X,#Beautiful,"['Mariah Carey', 'Miguel']",199867,5/27/14,2014,0.346,0.677,0.749,0.0,0.347,-5.405,0.0391,107.042,0.469,1,4,54,0
1u6GCyU5atrzrAqwC55og1,#GETITRIGHT,['Miley Cyrus'],264707,10/4/13,2013,0.0581,0.844,0.614,6.99e-06,0.0769,-6.19,0.0708,116.034,0.714,1,5,51,1
1HOlb9rdNOmy9b1Fakicjo,#SELFIE,['The Chainsmokers'],183750,1/1/14,2014,0.0135,0.789,0.916,8.09e-06,0.077,-3.262,0.249,127.956,0.658,1,0,64,0
0xSfELjbi6QwmprLDu4Nrx,#icanteven (feat. French Montana),"['The Neighbourhood', 'French Montana']",234480,11/28/14,2014,0.114,0.359,0.625,1.9e-05,0.0787,-9.387,0.146,111.866,0.154,0,6,58,1
01TuObJVd7owWchVRuQbQw,#thatPOWER,"['will.i.am', 'Justin Bieber']",279507,1/1/13,2013,0.00112,0.797,0.608,7.66e-05,0.0748,-6.096,0.0584,127.999,0.402,0,6,68,0
65u1dHQyQyE4y4aN2eDmMF,$$$ - with Matt Ox,"['XXXTENTACION', 'Matt Ox']",130403,3/16/18,2018,0.0636,0.774,0.507,0.0,0.138,-6.952,0.065,140.067,0.508,0,1,68,1
2L9mXwt6vJ3FxVxf7jsGkd,$150 / roll widdit,['Healy'],181368,12/17/15,2015,0.325,0.665,0.409,1.29e-05,0.0747,-10.037,0.787,151.355,0.296,1,0,54,0
48YPDmhRIQRiusm5uCz5gX,$TING,['The Neighbourhood'],282547,12/10/13,2013,0.622,0.566,0.777,0.758,0.0985,-6.19,0.0505,134.014,0.341,0,9,53,0
6AoYWCzsDls6c61Zp5qTuU,$ave Dat Money (feat. Fetty Wap & Rich Homie Quan),"['Lil Dicky', 'Fetty Wap', 'Rich Homie Quan']",290836,7/31/15,2015,0.114,0.858,0.697,0.0,0.224,-5.361,0.23,98.012,0.364,1,2,69,1
5NXeprz7VhJkG6RgSAqqeO,$outh $ide $uicide,"['$uicideBoy$', 'Pouya']",169169,9/1/15,2015,0.00591,0.798,0.529,0.394,0.072,-6.327,0.074,109.995,0.0524,1,1,52,1
4VsMart0lkjUtyQnmxloK6,$outh $ide $uicide,"['$uicideBoy$', 'Pouya']",169320,6/15/15,2015,0.00538,0.797,0.516,0.431,0.0728,-6.286,0.0831,109.997,0.0477,1,1,69,1
2vzbU9nlpIMYxlt0FucOHi,&,['Tally Hall'],194587,6/21/11,2011,0.00135,0.532,0.88,0.0,0.348,-5.119,0.0362,95.921,0.727,1,11,56,0
0w4m3Xp4svlIoyL94Zjlyd,&Run,['Sir Sly'],226587,6/30/17,2017,0.0203,0.764,0.661,0.000179,0.179,-8.276,0.0526,92.018,0.479,1,5,59,0
7uX3gufAoBVqKVoD3dBLLD,&burn (with Vince Staples),"['Billie Eilish', 'Vince Staples']",179016,12/15/17,2017,0.213,0.776,0.379,0.00175,0.0969,-9.351,0.331,82.531,0.346,0,9,69,0
6X7qcg95CAeJpTjtg1wooM,&burn (with Vince Staples),"['Billie Eilish', 'Vince Staples']",179016,12/22/17,2017,0.213,0.776,0.379,0.00175,0.0969,-9.351,0.331,82.531,0.346,0,9,65,0
