Artist,Date and Location,Location Name,Start Time,Tour Average Duration,Songs
"Morgan Wallen 
at Lucas Oil Stadium, Indianapolis, IN, USA



 Edit setlist

Show all edit options




Edit setlist songs




Edit venue & date




Edit set times




Edit tour




Add to festival



Report setlist",Apr 5 2024,"Lucas Oil Stadium, Indianapolis, IN, USA",9:30 PM,4h 4m,"['Broadway Girls', ""Ain't That Some"", 'I Wrote the Book', 'One Thing at a Time', 'Everything I Love', 'You Proof', '’98 Braves', '7 Summers', 'Sunrise', 'Still Goin Down', 'Cover Me Up', 'Thought You Should Know', 'Sand in My Boots', 'Up Down', 'Cowgirls', ""Chasin' You"", 'Man Made a Bar', 'Heartless', 'Wasted on You', 'This Bar', 'More Than My Hometown', 'Whiskey Glasses', ""Thinkin' Bout Me"", 'Last Night', 'The Way I Talk']"
"Morgan Wallen 
at Lucas Oil Stadium, Indianapolis, IN, USA



 Edit setlist

Show all edit options




Edit setlist songs




Edit venue & date




Edit set times




Edit tour




Add to festival



Report setlist",Apr 4 2024,"Lucas Oil Stadium, Indianapolis, IN, USA",Start time not found,Tour duration not found,"['Broadway Girls', ""Ain't That Some"", 'I Wrote the Book', 'One Thing at a Time', 'Everything I Love', 'You Proof', '’98 Braves', '7 Summers', 'Sunrise', 'Cowgirls', 'Cover Me Up', 'Thought You Should Know', 'I Deserve a Drink', 'Sand in My Boots', 'Up Down', 'Still Goin Down', ""Chasin' You"", 'Man Made a Bar', 'Heartless', 'Wasted on You', 'This Bar', 'More Than My Hometown', 'Whiskey Glasses', ""Thinkin' Bout Me"", 'Last Night', 'The Way I Talk']"
"Morgan Wallen 
at The Bridge Building, Nashville, TN, USA



 Edit setlist

Show all edit options




Edit setlist songs




Edit venue & date




Edit set times




Edit tour




Add to festival



Report setlist",Dec 31 2023,"The Bridge Building, Nashville, TN, USA",Start time not found,Tour duration not found,"['Everything I Love', ""Thinkin' Bout Me"", 'Last Night']"
"Morgan Wallen 
at Abbey Road Studios, London, England



 Edit setlist

Show all edit options




Edit setlist songs




Edit venue & date




Edit set times




Edit tour




Add to festival



Report setlist",Dec 5 2023,"Abbey Road Studios, London, England",Start time not found,Tour duration not found,"[""Thinkin' Bout Me"", 'Lies Lies Lies', 'Sunrise', 'Everything I Love', 'I Wrote the Book', 'I Deserve a Drink', 'Graveyard Whistling']"
"Morgan Wallen 
at The O2 Arena, London, England



 Edit setlist

Show all edit options




Edit setlist songs




Edit venue & date




Edit set times




Edit tour




Add to festival



Report setlist",Dec 3 2023,"The O2 Arena, London, England",Start time not found,4h 4m,"['Broadway Girls', 'Up Down', 'I Wrote the Book', 'One Thing at a Time', 'Everything I Love', '’98 Braves', 'You Proof', ""Ain't That Some"", 'Sunrise', '7 Summers', ""Chasin' You"", 'Cover Me Up', 'Thought You Should Know', 'Where I Find God', 'I Deserve a Drink', 'Sand in My Boots', ""Thinkin' Bout Me"", 'Cowgirls', 'Whiskey Friends', 'This Bar', 'Wasted on You', 'More Than My Hometown', 'The Way I Talk', 'Heartless', 'Last Night', 'Whiskey Glasses']"
"Morgan Wallen 
at Truist Park, Atlanta, GA, USA



 Edit setlist

Show all edit options




Edit setlist songs




Edit venue & date




Edit set times




Edit tour




Add to festival



Report setlist",Nov 19 2023,"Truist Park, Atlanta, GA, USA",Start time not found,Tour duration not found,['’98 Braves']
"Morgan Wallen 
at Minute Maid Park, Houston, TX, USA



 Edit setlist

Show all edit options




Edit setlist songs




Edit venue & date




Edit set times




Edit tour




Add to festival



Report setlist",Nov 18 2023,"Minute Maid Park, Houston, TX, USA",Start time not found,Tour duration not found,"['Broadway Girls', 'Up Down', 'I Wrote the Book', 'One Thing at a Time', 'Everything I Love', '’98 Braves', 'You Proof', ""Ain't That Some"", 'Sunrise', '7 Summers', ""Chasin' You"", 'Cover Me Up', 'Thought You Should Know', 'Sand in My Boots', 'He Went to Jared', ""Thinkin' Bout Me"", 'Cowgirls', 'Whiskey Friends', 'This Bar', 'Wasted on You', 'More Than My Hometown', 'The Way I Talk', 'Heartless', 'Last Night', 'Whiskey Glasses']"
"Morgan Wallen 
at Moody Center, Austin, TX, USA



 Edit setlist

Show all edit options




Edit setlist songs




Edit venue & date




Edit set times




Edit tour




Add to festival



Report setlist",Nov 16 2023,"Moody Center, Austin, TX, USA",Start time not found,4h 4m,"['Broadway Girls', 'Up Down', 'I Wrote the Book', 'One Thing at a Time', 'Everything I Love', '’98 Braves', 'You Proof', ""Ain't That Some"", 'Sunrise', '7 Summers', ""Chasin' You"", 'Cover Me Up', 'Thought You Should Know', 'I Deserve a Drink', 'Sand in My Boots', ""Thinkin' Bout Me"", 'Cowgirls', 'Whiskey Friends', 'This Bar', 'Wasted on You', 'More Than My Hometown', 'The Way I Talk', 'Heartless', 'Last Night', 'Whiskey Glasses']"
"Morgan Wallen 
at Truist Park, Atlanta, GA, USA



 Edit setlist

Show all edit options




Edit setlist songs




Edit venue & date




Edit set times




Edit tour




Add to festival



Report setlist",Nov 11 2023,"Truist Park, Atlanta, GA, USA",9:20 PM,4h 4m,"['Broadway Girls', 'Up Down', 'I Wrote the Book', 'One Thing at a Time', 'Everything I Love', 'Man Made a Bar', 'You Proof', ""Ain't That Some"", 'Sunrise', '7 Summers', ""Chasin' You"", 'Cover Me Up', 'Thought You Should Know', 'I Deserve a Drink', 'Sand in My Boots', ""Thinkin' Bout Me"", 'Cowgirls', 'This Bar', 'Wasted on You', 'More Than My Hometown', 'The Way I Talk', 'Heartless', '’98 Braves', 'Last Night', 'Whiskey Glasses']"
"Morgan Wallen 
at Truist Park, Atlanta, GA, USA



 Edit setlist

Show all edit options




Edit setlist songs




Edit venue & date




Edit set times




Edit tour




Add to festival



Report setlist",Nov 10 2023,"Truist Park, Atlanta, GA, USA",Start time not found,Tour duration not found,"['Broadway Girls', 'Up Down', 'I Wrote the Book', 'One Thing at a Time', 'Everything I Love', '’98 Braves', 'You Proof', ""Ain't That Some"", 'Sunrise', '7 Summers', ""Chasin' You"", 'Cover Me Up', 'Thought You Should Know', 'I Deserve a Drink', 'Sand in My Boots', ""Thinkin' Bout Me"", 'Cowgirls', 'Whiskey Friends', 'This Bar', 'Wasted on You', 'More Than My Hometown', 'The Way I Talk', 'Heartless', 'Last Night', 'Whiskey Glasses']"
